"stem","a","b","c","d","answer","explanation"
"Synthetic review-row 43: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 44: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 45: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 46: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 47: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 48: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 49: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 50: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 51: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 52: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 53: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 54: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 55: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 56: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 57: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 58: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 59: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 60: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 61: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 62: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 63: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 64: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 65: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 66: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 67: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 68: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 69: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 70: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 71: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 72: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 73: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 74: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 75: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 76: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 77: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 78: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 79: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 80: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 81: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 82: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 83: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 84: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 85: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
